id,asn_dn,brand,country,delivered_to_client_date,delivery_recorded_date,dosage,dosage_form,first_line_designation,freight_cost,fulfill_via,item_description,line_item_insurance,line_item_quantity,line_item_value,managed_by,manufacturing_site,molecule_test_type,pack_price,po_sent_to_vendor_date,po_so,pq,pq_first_sent_to_client_date,product_group,project_code,scheduled_delivery_date,shipment_mode,sub_classification,unit_of_measure,unit_price,vendor,vendor_inco_term,weight
10704,DN-775,Generic,Haiti,27-Jun-08,27-Jun-08,300mg,Tablet,Yes,2944.21,From RDC,"Zidovudine 300mg, tablets, 60 Tabs",41.08,3150,25672.5,PMO - US,"Aurobindo Unit III, India",Zidovudine,8.15,N/A - From RDC,SO-2600,Pre-PQ Process,Pre-PQ Process,ARV,106-HT-T01,27-Jun-08,Air,Adult,60,0.14,SCMS from RDC,N/A - From RDC,181
9187,ASN-4487,Videx,Vietnam,23-Jul-09,23-Jul-09,25mg,Chewable/dispersible tablet,No,Freight Included in Commodity Cost,Direct Drop,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",1.1,80,560.0,PMO - US,"BMS Meymac, France",Didanosine,7.0,5/27/09,SCMS-46540,Pre-PQ Process,Pre-PQ Process,ARV,108-VN-T01,23-Jul-09,Air,Pediatric,60,0.12,BRISTOL-MYERS SQUIBB,CIP,Weight Captured Separately
11780,DN-324,Generic,CÃte dIvoire,31-Aug-07,31-Aug-07,10mg/ml,Oral suspension,No,See DN-324 (ID#:10610),From RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",9.03,2938,5640.96,PMO - US,"Aurobindo Unit III, India",Nevirapine,1.92,N/A - From RDC,SO-997,Pre-PQ Process,Pre-PQ Process,ARV,104-CI-T01,31-Aug-07,MIssing,Pediatric,240,0.01,SCMS from RDC,N/A - From RDC,See DN-324 (ID#:10610)
11146,DN-238,Capillus,Rwanda,16-Jul-07,16-Jul-07,MIssing,Test kit,Yes,1676.91,From RDC,"HIV 1/2, Capillus HIV Kit, 100 Tests",33.36,150,20850.0,PMO - US,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit",139.0,N/A - From RDC,SO-756,Pre-PQ Process,Pre-PQ Process,HRDT,107-RW-T01,16-Jul-07,Air,HIV test,100,1.39,SCMS from RDC,N/A - From RDC,130
10680,DN-830,Bioline,Kenya,30-May-08,30-May-08,MIssing,Test kit,Yes,417.42,From RDC,"HIV, Bioline HIV 1/2 3.0 Kit, [DON] 25 Tests",0.02,997,9.97,PMO - US,"Standard Diagnostics, Korea","HIV, Bioline HIV 1/2 3.0 Kit",0.01,N/A - From RDC,SO-1720,Pre-PQ Process,Pre-PQ Process,HRDT,102-KE-T01,30-May-08,Truck,HIV test,25,0.0,SCMS from RDC,N/A - From RDC,399
8263,ASN-2267,Stat-Pak,Nigeria,20-Aug-08,20-Aug-08,MIssing,Test kit,Yes,12768.47,Direct Drop,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",281.66,6520,176040.0,PMO - US,Chembio Diagnostics Sys. Inc.,"HIV 1/2, Stat-Pak HIV, Kit",27.0,1/29/08,SCMS-16890,Pre-PQ Process,Pre-PQ Process,HRDT,102-NG-T01,19-Sep-08,Air,HIV test,20,1.35,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",EXW,2224
11681,DN-1407,Generic,Zambia,19-Oct-09,19-Oct-09,200mg,Tablet,Yes,16339.98,From RDC,"Nevirapine 200mg, tablets, 60 Tabs",495.58,84282,252846.0,PMO - US,"Aurobindo Unit III, India",Nevirapine,3.0,N/A - From RDC,SO-29030,Pre-PQ Process,Date Not Captured,ARV,110-ZM-T01,19-Oct-09,Truck,Adult,60,0.05,SCMS from RDC,N/A - From RDC,13680
11209,DN-475,Generic,Nigeria,03-Dec-07,03-Dec-07,10mg/ml,Oral suspension,No,See DN-475 (ID#:10642),From RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",9.57,965,5983.0,PMO - US,"Aurobindo Unit III, India",Nevirapine,6.2,N/A - From RDC,SO-567,Pre-PQ Process,Pre-PQ Process,ARV,112-NG-T01,03-Dec-07,Air,Pediatric,240,0.03,SCMS from RDC,N/A - From RDC,See DN-475 (ID#:10642)
12507,DN-632,Determine,CÃte dIvoire,13-Mar-08,13-Mar-08,MIssing,Test kit,No,See DN-632 (ID#:11547),From RDC,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",28.8,250,17997.5,PMO - US,Inverness Japan,"HIV 1/2, Determine HIV Kit, without Lancets",71.99,N/A - From RDC,SO-1838,Pre-PQ Process,Pre-PQ Process,HRDT,104-CI-T01,13-Mar-08,Air,HIV test,100,0.72,SCMS from RDC,N/A - From RDC,See DN-632 (ID#:11547)
12127,DN-442,Generic,CÃte dIvoire,22-Nov-07,22-Nov-07,300mg,Tablet,No,See DN-442 (ID#:11202),From RDC,"Abacavir 300mg, tablets, 60 Tabs",365.12,3260,228200.0,PMO - US,"Aurobindo Unit III, India",Abacavir,70.0,N/A - From RDC,SO-1103,Pre-PQ Process,Pre-PQ Process,ARV,104-CI-T01,22-Nov-07,Air,Adult,60,1.17,SCMS from RDC,N/A - From RDC,See DN-442 (ID#:11202)
